date,signal,code,name,market,close_krw,change_pct,value_krw,metric,flags
2026-09-10,value-surge,117580,대성에너지,KOSPI,7510,4.45,39825735225,×81.0,
2026-09-10,value-surge,073010,케이에스피,KOSDAQ,3350,20.07,20856181834,×59.7,
2026-09-10,value-surge,004090,한국석유,KOSPI,12740,10.3,101809995345,×59.5,
2026-09-10,value-surge,452450,피아이이,KOSDAQ,4925,13.48,28401036147,×57.2,
2026-09-10,value-surge,079940,가비아,KOSDAQ,42450,-0.35,51527210350,×56.8,
2026-09-10,value-surge,014530,극동유화,KOSPI,3415,3.33,23811130873,×50.3,
2026-09-10,value-surge,0011A0,액스비스,KOSDAQ,11700,12.5,68412797465,×46.2,
2026-09-10,value-surge,100590,머큐리,KOSDAQ,4970,14.12,50237461202,×41.0,
2026-09-10,value-surge,000440,중앙에너비스,KOSDAQ,13550,9.89,16069967940,×34.6,
2026-09-10,value-surge,475400,씨메스로보틱스,KOSDAQ,19460,13.07,19744055050,×32.8,
2026-09-10,value-surge,224060,더코디,KOSDAQ,9890,29.96,10328937890,×29.3,
2026-09-10,value-surge,005860,한일사료,KOSDAQ,2490,3.32,24361913404,×26.5,
2026-09-10,value-surge,214680,디알텍,KOSDAQ,5040,5.0,17356579065,×24.9,
2026-09-10,value-surge,432720,퀄리타스반도체,KOSDAQ,10080,12.37,15818283570,×21.7,
2026-09-10,value-surge,092790,넥스틸,KOSPI,14370,7.96,123513556935,×20.2,
2026-09-10,value-surge,046970,우리로,KOSDAQ,6700,1.98,86654823680,×15.9,
2026-09-10,value-surge,024060,흥구석유,KOSDAQ,14510,20.02,326466295900,×14.4,
2026-09-10,value-surge,950250,테라뷰,KOSDAQ,3660,17.87,28907083230,×14.0,
2026-09-10,value-surge,003280,흥아해운,KOSPI,1901,8.01,200013708821,×13.9,
2026-09-10,value-surge,475040,스트라드비젼,KOSDAQ,3810,14.59,48278283027,×12.6,
2026-09-10,value-surge,388720,유일로보틱스,KOSDAQ,71300,7.54,16148487900,×11.9,
2026-09-10,value-surge,128820,대성산업,KOSPI,4330,2.61,4026398811,×11.2,
2026-09-10,value-surge,488280,에스투더블유,KOSDAQ,11750,11.9,10198190795,×11.1,
