label,slug,since,signal_days,n,avg_1d_pct,avg_5d_pct,avg_20d_pct,median_20d_pct,market_avg_20d_pct,excess_20d_pp,win_rate_20d_pct,verdict
공매도 비중 급증,short-surge,2026-06-16,48,435,0.43,1.59,1.72,-0.84,-1.94,3.66,47.4,
기관·외국인 동반 순매수,both-buy,2024-12-03,419,8377,0.18,0.8,3.62,0.41,1.16,2.46,50.8,시장 상회
개인만 받는,retail-only,2024-12-03,419,8376,0.05,0.71,3.44,0.5,1.16,2.28,51.3,시장 상회
정배열 진입 + 외국인·기관 순매수,ma-stack-flow,2024-12-03,376,1586,0.04,0.47,3.0,-0.59,0.94,2.06,48.4,시장 상회
외국인 연속 순매수,foreign-buy-streak,2024-12-05,417,8293,0.3,1.26,3.08,0.58,1.15,1.93,51.5,시장 상회
골든크로스 + 외국인·기관 순매수,golden-cross-flow,2024-12-03,398,2217,0.0,0.55,2.99,0.07,1.26,1.73,50.1,시장 상회
52주 신고가,high-52w,2020-06-26,1509,25739,0.32,0.57,1.53,-3.28,-0.01,1.54,42.2,시장 상회
공매도 비중 상위,short-top,2026-06-15,50,1000,-0.24,-0.72,-0.5,0.14,-1.8,1.3,50.2,
시가총액 상위,market-cap,2020-01-02,1631,32620,0.07,0.35,1.33,0.17,0.16,1.17,50.4,시장 상회
고배당,high-dividend,2020-04-01,1569,31380,0.07,0.33,1.19,0.27,0.25,0.94,51.3,시장 상회
저PER,low-per,2020-04-01,1569,31380,0.08,0.37,1.14,-0.18,0.25,0.89,48.6,시장 상회
대형주 상승률 상위,large-gainers,2020-01-02,1631,32620,0.04,0.24,0.84,-1.56,0.16,0.68,45.1,시장 상회
연속 상승,streak-up,2020-01-06,1629,31849,-0.05,0.15,0.72,-2.79,0.17,0.55,42.1,시장 상회
정배열 진입,ma-stack,2022-04-19,1036,13514,-0.08,-0.14,-0.16,-3.36,-0.23,0.07,40.1,시장 수준
박스권 상단 돌파,box-breakout,2022-04-19,1041,19532,0.35,0.03,-0.29,-5.53,-0.2,-0.09,37.1,시장 수준
안 올랐는데 계속 산,accumulation,2025-01-02,400,4983,0.09,0.02,0.81,-1.77,0.96,-0.15,45.4,시장 수준
골든크로스,golden-cross,2022-04-19,1040,18743,-0.05,-0.29,-0.47,-3.07,-0.2,-0.27,40.5,시장 수준
조용하다 돈이 몰린,dry-surge,2020-02-03,1608,17900,0.08,-0.02,-0.35,-3.51,0.15,-0.5,39.0,시장 수준
신저가 부근 거래대금 급증,low52-surge,2020-06-29,1475,16070,-0.13,-0.19,-0.65,-1.34,-0.09,-0.56,43.4,시장 하회
거래대금 상위,value-top,2020-01-02,1631,32588,-0.12,-0.48,-0.44,-3.1,0.16,-0.6,41.7,시장 하회
52주 신저가,low-52w,2020-06-26,1425,14875,-0.23,-0.29,-0.78,-1.44,-0.1,-0.68,44.4,시장 하회
12-1 모멘텀 상위,momentum-12-1,2021-01-08,1379,27521,-0.11,-0.47,-1.4,-4.5,-0.42,-0.98,40.4,시장 하회
거래대금 급증,value-surge,2020-01-03,1630,32494,-0.16,-0.66,-0.85,-4.92,0.17,-1.02,37.0,시장 하회
상승률 상위,gainers,2020-01-02,1631,32515,0.74,0.31,-1.06,-8.01,0.16,-1.22,34.4,시장 하회
20일선 과열,disparity-hot,2020-01-31,1612,32089,-0.08,-0.38,-1.03,-9.21,0.19,-1.22,35.3,시장 하회
52주 고점 대비 낙폭 상위,drawdown-52w,2020-06-25,1512,29993,-0.07,-0.29,-1.31,-4.24,0.01,-1.32,38.4,시장 하회
RSI 과매도,rsi-oversold,2022-04-19,1041,20552,-0.33,-0.76,-1.57,-2.56,-0.2,-1.37,41.4,시장 하회
급증 뒤 되돌림,surge-pullback,2020-01-13,1621,23546,0.01,0.07,-1.26,-4.36,0.15,-1.41,36.7,시장 하회
올랐는데 계속 판,distribution,2025-01-02,400,7604,-0.12,-0.38,-0.88,-6.58,0.96,-1.84,36.2,시장 하회
갭 상승,gap-up,2020-01-03,1630,32353,0.17,-0.6,-2.0,-6.4,0.17,-2.17,34.5,시장 하회
프로그램 순매수 상위,program-buy,2026-06-04,57,1140,-0.5,-1.34,-5.5,-4.76,-3.3,-2.2,37.3,
하락률 상위,losers,2020-01-02,1631,32442,-0.86,-1.09,-2.7,-5.98,0.16,-2.86,35.9,시장 하회
20일선 과냉,disparity-cold,2020-01-31,1612,26867,-0.45,-0.98,-3.2,-5.94,0.19,-3.39,36.6,시장 하회
회전율 상위,turnover,2020-01-02,1631,32468,-0.7,-2.3,-5.45,-10.32,0.16,-5.61,29.1,시장 하회
과열 뒤 갭하락,turnover-gapdown,2020-01-06,1354,4100,-1.59,-3.5,-7.84,-11.27,0.08,-7.92,27.8,시장 하회
